#labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,CostEst
0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.1,1
0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.075,0
0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0,0
0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.001,0
0.0176406,1.76406,5,363.95,185.191,0.0134178,2.96911,0.05,0
1,1,5,192.85,99.8888,0.0221681,3.04389,0.01,-1
1,1,5,192.85,99.8888,0.0221681,3.04389,0.001,-1
1,1,5,192.85,99.8888,0.0221681,3.04389,0.075,-1
1,1,5,192.85,99.8888,0.0221681,3.04389,0.005,-1
1,1,5,192.85,99.8888,0.0221681,3.04389,0.025,-1
1,1,5,192.85,99.8888,0.0221681,3.04389,0.05,-1
1,1,5,192.85,99.8888,0.0221681,3.04389,0.1,-1
1,1,5,192.85,99.8888,0.0221681,3.04389,0,-1
2.28571E-06,2.28571,5,226,116.706,0.0167143,3.15793,0.1,1
2.28571E-06,2.28571,5,226,116.706,0.0167143,3.15793,0.075,1
2.28571E-06,2.28571,5,226,116.706,0.0167143,3.15793,0,0
2.28571E-06,2.28571,5,226,116.706,0.0167143,3.15793,0.05,0
2.28571E-06,2.28571,5,226,116.706,0.0167143,3.15793,0.01,0
2.28571E-06,2.28571,5,226,116.706,0.0167143,3.15793,0.025,0
2.28571E-06,2.28571,5,226,116.706,0.0167143,3.15793,0.005,0
2.28571E-06,2.28571,5,226,116.706,0.0167143,3.15793,0.001,0
2.28571E-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.025,-1
2.28571E-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.01,-1
2.28571E-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.005,-1
2.28571E-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.075,-1
2.28571E-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.1,-1
2.28571E-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.05,-1
2.28571E-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0.001,-1
2.28571E-06,2.28571,5,54.15,29.7068,0.142668,2.11678,0,-1
1,1,5,63.45,34.5651,0.101102,2.42483,0.075,-1
1,1,5,63.45,34.5651,0.101102,2.42483,0.01,-1
1,1,5,63.45,34.5651,0.101102,2.42483,0.05,-1
1,1,5,63.45,34.5651,0.101102,2.42483,0.1,-1
1,1,5,63.45,34.5651,0.101102,2.42483,0.001,-1
1,1,5,63.45,34.5651,0.101102,2.42483,0,-1
1,1,5,63.45,34.5651,0.101102,2.42483,0.005,-1
1,1,5,63.45,34.5651,0.101102,2.42483,0.025,-1
0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.025,-1
0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.001,-1
0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.01,-1
0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.075,-1
0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.05,-1
0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.005,-1
0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.1,-1
0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0,-1
0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.075,-1
0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.025,-1
0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.001,-1
0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.05,-1
0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.1,-1
0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.01,-1
0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0,-1
0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.005,-1
0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0,0
0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.01,0
0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.025,0
0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.05,0
0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.075,1
0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.001,0
0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.1,1
0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.005,0
2.28571E-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.025,-1
