#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
1.89,12.69,1e0,1,1,5,63.45,34.5651,0.101102,2.42483,0.075,-1,-1,-1,-1,-1
1.89,12.69,1e0,1,1,5,63.45,34.5651,0.101102,2.42483,0.05,21,1.4,1.45,7.735,-1
1.89,12.69,1e0,1,1,5,63.45,34.5651,0.101102,2.42483,0.1,-1,-1,-1,-1,-1
1.89,12.69,1e0,1,1,5,63.45,34.5651,0.101102,2.42483,0.025,23,1.37,1.41,10.4,-1
12.69,20.43,1e4,0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.025,23,1.41,1.47,13.37,-1
12.69,20.43,1e4,0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.075,16,1.43,1.49,11.8,-1
12.69,20.43,1e4,0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.05,19,1.41,1.47,13.22,-1
12.69,20.43,1e4,0.000177764,1.77764,5,102.15,62.3027,0.0136343,3.5348,0.1,-1,-1,-1,-1,-1
23.95,32.90,1e4,0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.075,17,1.43,1.48,9.019,-1
23.95,32.90,1e4,0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.025,26,1.42,1.47,11.11,-1
23.95,32.90,1e4,0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.05,23,1.42,1.47,12.57,-1
23.95,32.90,1e4,0.000177764,1.77764,5,164.5,103.763,0.00472922,3.72641,0.1,-1,-1,-1,-1,-1
23.95,52.98,1e2,0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.025,25,1.42,1.48,9.583,0
23.95,52.98,1e2,0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.05,23,1.42,1.47,10.78,0
23.95,52.98,1e2,0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.075,17,1.43,1.48,8.858,1
23.95,52.98,1e2,0.0176406,1.76406,5,264.9,149.529,0.00297,3.76855,0.1,16,1.44,1.5,7.207,1
5.74,7.88,1e-6,2.28571e-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.025,21,1.4,1.45,9.774,-1
5.74,7.88,1e-6,2.28571e-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.05,19,1.41,1.47,9.075,-1
5.74,7.88,1e-6,2.28571e-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.1,-1,-1,-1,-1,-1
5.74,7.88,1e-6,2.28571e-06,2.28571,5,39.4,26.0265,0.0668324,3.02291,0.075,17,1.44,1.49,8.086,-1
