9.24,28.07,1e2,0.0176406,1.76406,5,140.35,77.1246,0.0134374,3.48521,0.025,24,1.41,1.47,16.23,0,-1
1.17,85.32,1e2,0.0176406,1.76406,5,426.6,215.858,0.0213545,2.1317,0.025,16,1.39,1.44,8.284,1,-1
4.18,52.98,1e-2,0.022567,2.2567,5,264.9,136.133,0.0143053,3.168,0.025,24,1.4,1.45,10.05,-1,0
1.17,72.79,1e-6,2.28571e-06,2.28571,5,363.95,184.533,0.0249806,2.12745,0.025,16,1.39,1.44,14.05,-1,1
14.87,85.32,1e-4,0.000228542,2.28542,5,426.6,221.944,0.00291992,3.70453,0.025,25,1.42,1.47,16.33,-1,1
32.90,45.20,1e0,1,1,5,226,141.979,0.00255398,3.79798,0.025,21,1.42,1.48,10.69,1,0
7.88,23.95,1e-6,2.28571e-06,2.28571,5,119.75,66.0684,0.0180541,3.40728,0.025,24,1.41,1.46,12.56,0,-1
1.37,17.43,1e6,1.77778e-06,1.77778,5,87.15,46.2035,0.091577,2.18678,0.025,17,1.37,1.42,12.33,1,-1
14.87,38.57,1e-6,2.28571e-06,2.28571,5,192.85,107.039,0.00636967,3.65324,0.025,24,1.42,1.47,22.97,-1,1
1.37,32.90,1e-6,2.28571e-06,2.28571,5,164.5,84.8772,0.0497865,2.24403,0.025,19,1.37,1.42,14.04,-1,1
1.17,17.43,1e0,1,1,5,87.15,46.1334,0.100017,2.03966,0.025,16,1.39,1.44,7.616,-1,1
20.43,23.95,1e-4,0.000228542,2.28542,5,119.75,80.1898,0.00748113,3.66051,0.025,28,1.42,1.47,13.37,-1,1
1.17,20.43,1e0,1,1,5,102.15,53.6334,0.0860158,2.05604,0.025,16,1.39,1.44,11.28,1,-1
4.18,62.10,1e0,1,1,5,310.5,158.913,0.0122377,3.17665,0.025,26,1.4,1.45,11.33,0,-1
5.74,62.10,1e6,1.77778e-06,1.77778,5,310.5,159.566,0.00940526,3.35254,0.025,24,1.4,1.46,9.453,-1,0
45.20,52.98,1e6,1.77778e-06,1.77778,5,264.9,175.59,0.00160393,3.84092,0.025,20,1.42,1.48,7.908,1,0
1.37,85.32,1e-6,2.28571e-06,2.28571,5,426.6,215.927,0.0195524,2.28545,0.025,20,1.37,1.42,14.27,0,1
20.43,23.95,1e6,1.77778e-06,1.77778,5,119.75,80.1898,0.00748113,3.66051,0.025,25,1.42,1.47,9.711,-1,0
1.17,52.98,1e0,1,1,5,264.9,135.008,0.0341482,2.11673,0.025,16,1.39,1.44,16.22,1,-1
3.56,62.10,1e-2,0.022567,2.2567,5,310.5,158.67,0.0139016,3.07332,0.025,24,1.39,1.44,10.32,-1,0
14.87,23.95,1e6,1.77778e-06,1.77778,5,119.75,72.7564,0.0101021,3.59773,0.025,25,1.42,1.47,16.93,0,-1
5.74,72.79,1e0,1,1,5,363.95,186.253,0.00804271,3.36036,0.025,27,1.4,1.46,10.39,-1,0
14.87,32.90,1e-4,0.000228542,2.28542,5,164.5,93.4968,0.00743504,3.63739,0.025,26,1.42,1.47,23.18,-1,1
23.95,28.07,1e-2,0.022567,2.2567,5,140.35,93.736,0.00551499,3.7076,0.025,26,1.42,1.47,16.65,-1,0
20.43,28.07,1e2,0.0176406,1.76406,5,140.35,88.7497,0.00642085,3.68217,0.025,24,1.42,1.47,16.89,0,-1
