#labels Stretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
1.17,12.69,1e0,1,1,1,12.69,6.85669,0.134647,1.99914,0.01,36,1.09,1.14,31.59,1
1.17,12.69,1e0,1,1,1,12.69,6.85669,0.134647,1.99914,0,64,1.03,1.07,57.59,0
1.17,38.57,1e0,1,1,1,38.57,19.7967,0.0465837,2.10218,0,110,1.03,1.07,87.99,0
1.17,38.57,1e0,1,1,1,38.57,19.7967,0.0465837,2.10218,0.075,-1,-1,-1,-1,-1
1.17,38.57,1e0,1,1,1,38.57,19.7967,0.0465837,2.10218,0.05,-1,-1,-1,-1,-1
1.17,38.57,1e0,1,1,1,38.57,19.7967,0.0465837,2.10218,0.025,26,1.11,1.15,15.73,1
1.17,38.57,1e0,1,1,1,38.57,19.7967,0.0465837,2.10218,0.1,-1,-1,-1,-1,-1
1.17,38.57,1e0,1,1,1,38.57,19.7967,0.0465837,2.10218,0.005,29,1.1,1.14,17.64,1
1.17,38.57,1e0,1,1,1,38.57,19.7967,0.0465837,2.10218,0.001,48,1.09,1.13,33.61,0
1.17,38.57,1e0,1,1,1,38.57,19.7967,0.0465837,2.10218,0.01,29,1.1,1.14,17.79,1
4.89,72.79,1e0,1,1,1,72.79,37.1807,0.00920338,3.27588,0.075,-1,-1,-1,-1,-1
4.89,72.79,1e0,1,1,1,72.79,37.1807,0.00920338,3.27588,0.01,50,1.11,1.15,28.43,1
4.89,72.79,1e0,1,1,1,72.79,37.1807,0.00920338,3.27588,0,169,1.03,1.07,186,0
4.89,72.79,1e0,1,1,1,72.79,37.1807,0.00920338,3.27588,0.001,73,1.09,1.13,56.51,0
4.89,72.79,1e0,1,1,1,72.79,37.1807,0.00920338,3.27588,0.05,-1,-1,-1,-1,-1
4.89,72.79,1e0,1,1,1,72.79,37.1807,0.00920338,3.27588,0.1,-1,-1,-1,-1,-1
4.89,72.79,1e0,1,1,1,72.79,37.1807,0.00920338,3.27588,0.025,44,1.19,1.23,24.99,1
4.89,72.79,1e0,1,1,1,72.79,37.1807,0.00920338,3.27588,0.005,51,1.1,1.14,29.23,1
7.88,52.98,1e0,1,1,1,52.98,27.5689,0.00834477,3.48379,0.1,-1,-1,-1,-1,-1
7.88,52.98,1e0,1,1,1,52.98,27.5689,0.00834477,3.48379,0.075,-1,-1,-1,-1,-1
7.88,52.98,1e0,1,1,1,52.98,27.5689,0.00834477,3.48379,0.05,-1,-1,-1,-1,-1
7.88,52.98,1e0,1,1,1,52.98,27.5689,0.00834477,3.48379,0.01,58,1.16,1.2,40.49,0
7.88,52.98,1e0,1,1,1,52.98,27.5689,0.00834477,3.48379,0.001,85,1.08,1.13,66.62,0
7.88,52.98,1e0,1,1,1,52.98,27.5689,0.00834477,3.48379,0,149,1.03,1.07,139.6,0
7.88,52.98,1e0,1,1,1,52.98,27.5689,0.00834477,3.48379,0.025,35,1.24,1.28,18.32,1
7.88,52.98,1e0,1,1,1,52.98,27.5689,0.00834477,3.48379,0.005,71,1.11,1.15,48.56,0
5.74,100.00,1e0,1,1,1,100,50.8442,0.00587596,3.3728,0.001,74,1.1,1.14,56.92,0
5.74,100.00,1e0,1,1,1,100,50.8442,0.00587596,3.3728,0.075,-1,-1,-1,-1,-1
5.74,100.00,1e0,1,1,1,100,50.8442,0.00587596,3.3728,0.01,60,1.11,1.15,38.91,0
5.74,100.00,1e0,1,1,1,100,50.8442,0.00587596,3.3728,0.05,-1,-1,-1,-1,-1
5.74,100.00,1e0,1,1,1,100,50.8442,0.00587596,3.3728,0.1,-1,-1,-1,-1,-1
5.74,100.00,1e0,1,1,1,100,50.8442,0.00587596,3.3728,0,197,1.03,1.07,237.3,0
5.74,100.00,1e0,1,1,1,100,50.8442,0.00587596,3.3728,0.005,60,1.1,1.15,35.73,0
5.74,100.00,1e0,1,1,1,100,50.8442,0.00587596,3.3728,0.025,43,1.21,1.26,26.53,1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,0.01,35,1.04,1.07,18.94,0
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,0.001,35,1.04,1.07,19.17,0
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,0.005,35,1.04,1.07,21.08,0
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,0.075,-1,-1,-1,-1,-1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,0,32,1.03,1.07,18.89,1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,0.025,26,1.09,1.13,12.25,1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,0.05,-1,-1,-1,-1,-1
1.61,2.21,1e0,1,1,1,2.21,1.68781,0.477435,1.69876,0.1,-1,-1,-1,-1,-1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,0.025,45,1.05,1.09,32.68,1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,0.075,-1,-1,-1,-1,-1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,0.01,43,1.04,1.07,33.1,1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,0.001,43,1.04,1.07,30.79,1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,0.05,-1,-1,-1,-1,-1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,0.1,-1,-1,-1,-1,-1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,0,42,1.03,1.07,30.16,1
1.37,1.61,1e0,1,1,1,1.61,1.3605,0.646653,1.42632,0.005,43,1.04,1.07,25.13,1
23.95,62.10,1e0,1,1,1,62.1,34.2558,0.00254074,3.77883,0.075,-1,-1,-1,-1,-1
23.95,62.10,1e0,1,1,1,62.1,34.2558,0.00254074,3.77883,0.025,31,1.31,1.36,18.31,1
23.95,62.10,1e0,1,1,1,62.1,34.2558,0.00254074,3.77883,0.005,68,1.22,1.27,46.76,0
23.95,62.10,1e0,1,1,1,62.1,34.2558,0.00254074,3.77883,0.05,-1,-1,-1,-1,-1
23.95,62.10,1e0,1,1,1,62.1,34.2558,0.00254074,3.77883,0,158,1.03,1.07,176.5,0
23.95,62.10,1e0,1,1,1,62.1,34.2558,0.00254074,3.77883,0.1,-1,-1,-1,-1,-1
23.95,62.10,1e0,1,1,1,62.1,34.2558,0.00254074,3.77883,0.001,131,1.12,1.16,132.2,0
23.95,62.10,1e0,1,1,1,62.1,34.2558,0.00254074,3.77883,0.01,50,1.27,1.31,29.05,0
3.56,38.57,1e0,1,1,1,38.57,19.9778,0.0221681,3.04389,0.001,75,1.08,1.12,51.68,0
3.56,38.57,1e0,1,1,1,38.57,19.9778,0.0221681,3.04389,0.075,-1,-1,-1,-1,-1
3.56,38.57,1e0,1,1,1,38.57,19.9778,0.0221681,3.04389,0.005,38,1.1,1.14,23.46,1
3.56,38.57,1e0,1,1,1,38.57,19.9778,0.0221681,3.04389,0.025,36,1.12,1.16,21.66,1
3.56,38.57,1e0,1,1,1,38.57,19.9778,0.0221681,3.04389,0.05,-1,-1,-1,-1,-1
3.56,38.57,1e0,1,1,1,38.57,19.9778,0.0221681,3.04389,0.1,-1,-1,-1,-1,-1
3.56,38.57,1e0,1,1,1,38.57,19.9778,0.0221681,3.04389,0.01,36,1.1,1.14,17.79,1
3.56,38.57,1e0,1,1,1,38.57,19.9778,0.0221681,3.04389,0,131,1.03,1.07,122.6,0
14.87,17.43,1e0,1,1,1,17.43,11.7537,0.013676,3.54459,0.025,29,1.27,1.31,16.9,1
14.87,17.43,1e0,1,1,1,17.43,11.7537,0.013676,3.54459,0.001,90,1.05,1.09,61.53,0
14.87,17.43,1e0,1,1,1,17.43,11.7537,0.013676,3.54459,0.005,58,1.15,1.19,37.72,0
14.87,17.43,1e0,1,1,1,17.43,11.7537,0.013676,3.54459,0.01,44,1.2,1.24,30.85,0
14.87,17.43,1e0,1,1,1,17.43,11.7537,0.013676,3.54459,0.05,-1,-1,-1,-1,-1
14.87,17.43,1e0,1,1,1,17.43,11.7537,0.013676,3.54459,0.1,-1,-1,-1,-1,-1
14.87,17.43,1e0,1,1,1,17.43,11.7537,0.013676,3.54459,0,94,1.03,1.07,66.85,0
14.87,17.43,1e0,1,1,1,17.43,11.7537,0.013676,3.54459,0.075,-1,-1,-1,-1,-1
2.59,85.32,1e0,1,1,1,85.32,43.2697,0.0129079,2.85236,0.075,-1,-1,-1,-1,-1
2.59,85.32,1e0,1,1,1,85.32,43.2697,0.0129079,2.85236,0.01,31,1.11,1.15,16.55,1
2.59,85.32,1e0,1,1,1,85.32,43.2697,0.0129079,2.85236,0.05,-1,-1,-1,-1,-1
2.59,85.32,1e0,1,1,1,85.32,43.2697,0.0129079,2.85236,0.1,-1,-1,-1,-1,-1
