#LabelsStretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
7.88,28.07,1e-4,0.000228542,2.28542,5,140.35,76.1501,0.0154954,3.42745,0.005,69,1.29,1.34,40.46,-0.0062
1.00,9.24,1e0,1,1,5,46.2,25.6,0.195313,1.80469,0.075,15,1.42,1.47,9.528, 0.9879
1.17,17.43,1e-4,0.000228542,2.28542,5,87.15,46.1334,0.100017,2.03966,0.075,17,1.41,1.46,12.76, 1.0000
1.00,17.43,1e-6,2.28571e-06,2.28571,5,87.15,46.075,0.108519,1.89148,0,133,1.03,1.07,159.4, 0.1329
1.00,100.00,1e4,0.000177764,1.77764,5,500,252.5,0.019802,1.9802,0.1,15,1.46,1.52,8.634, 0.9683
14.87,100.00,1e-4,0.000228542,2.28542,5,500,258.41,0.00249552,3.71084,0.025,25,1.42,1.47,31.59, 0.8502
1.89,20.43,1e-2,0.022567,2.2567,5,102.15,53.897,0.0645862,2.49385,0.025,24,1.36,1.41,12.32,-0.0173
7.88,14.87,1e-4,0.000228542,2.28542,5,74.35,44.3065,0.0283838,3.32589,0.075,23,1.43,1.49,12.09,-0.0175
3.56,23.95,1e4,0.000177764,1.77764,5,119.75,63.4154,0.035158,2.99764,0.025,25,1.39,1.45,13.12,-0.0163
5.74,17.43,1e2,0.0176406,1.76406,5,87.15,48.5822,0.0322014,3.22169,0.1,-1,-1,-1,-1, 1.0000
45.20,85.32,1e-2,0.022567,2.2567,5,426.6,246.419,0.00100301,3.86808,0.005,63,1.35,1.4,36.58, 0.2811
10.83,32.90,1e0,1,1,5,164.5,90.084,0.00997414,3.55386,0.1,18,1.44,1.5,16.2, 0.9920
1.00,5.74,1e4,0.000177764,1.77764,5,28.7,16.85,0.296736,1.70326,0.025,15,1.39,1.44,6.149, 0.9918
4.89,32.90,1e0,1,1,5,164.5,86.3586,0.020033,3.22292,0.025,27,1.4,1.45,9.638, 0.6748
9.24,45.20,1e-4,0.000228542,2.28542,5,226,119.275,0.00845509,3.53125,0.075,22,1.43,1.48,24.19, 1.0000
4.89,17.43,1e2,0.0176406,1.76406,5,87.15,47.9929,0.0368485,3.14069,0.005,67,1.25,1.3,33.89,-0.0065
62.10,100.00,1e0,1,1,5,500,298.776,0.000627638,3.89763,0.075,18,1.43,1.48,10.65, 1.0000
5.74,6.72,1e4,0.000177764,1.77764,5,33.6,23.5868,0.0768746,2.96527,0.075,16,1.44,1.49,7.215,-0.0251
2.21,52.98,1e-2,0.022567,2.2567,5,264.9,135.371,0.0230846,2.70288,0.01,59,1.26,1.3,27.98,-0.0074
1.89,38.57,1e4,0.000177764,1.77764,5,192.85,99.2347,0.0349781,2.54981,0.025,21,1.37,1.42,7.136,-0.0197
2.59,9.24,1e2,0.0176406,1.76406,5,46.2,26.3357,0.108809,2.60398,0.1,-1,-1,-1,-1, 1.0000
1.89,10.83,1e0,1,1,5,54.15,29.9238,0.116998,2.39479,0.01,57,1.24,1.29,30.81,-0.0077
1.61,4.89,1e-4,0.000228542,2.28542,5,24.45,14.992,0.260198,2.04851,0.1,-1,-1,-1,-1, 1.0000
7.88,45.20,1e-4,0.000228542,2.28542,5,226,118.505,0.00975001,3.47272,0.075,22,1.43,1.48,9.884, 0.9622
1.37,28.07,1e6,1.77778e-06,1.77778,5,140.35,72.8022,0.0580586,2.2327,0.1,15,1.45,1.51,14.51, 0.9880
2.21,4.89,1e0,1,1,5,24.45,15.384,0.211563,2.28634,0.005,58,1.15,1.19,20.93,-0.0079
12.69,85.32,1e2,0.0176406,1.76406,5,426.6,220.769,0.00338489,3.66486,0.005,61,1.32,1.37,60.47, 0.2767
6.72,28.07,1e4,0.000177764,1.77764,5,140.35,75.3945,0.0178237,3.36209,0.001,109,1.19,1.23,52.51, 0.1632
5.74,38.57,1e0,1,1,5,192.85,100.899,0.014998,3.32044,0,159,1.03,1.07,108.9, 0.1362
3.04,7.88,1e2,0.0176406,1.76406,5,39.4,23.2905,0.111498,2.67095,0.01,53,1.27,1.31,24.62,-0.0082
7.88,23.95,1e-4,0.000228542,2.28542,5,119.75,66.0684,0.0180541,3.40728,0.075,22,1.43,1.48,8.445,-0.0183
2.21,4.18,1e4,0.000177764,1.77764,5,20.9,13.6674,0.240561,2.22225,0.025,20,1.37,1.42,6.684,-0.0207
