%labels Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst,Pred,Pr -1,Pr 0,Pr 1
1,1,1,72.79,37.1807,0.00920338,3.27588,0.075,-1,-1,-1,-1,-1,-1,0.925993,0,0.0740068
1,1,1,72.79,37.1807,0.00920338,3.27588,0.01,50,1.11,1.15,28.43,1,1,0,0.181923,0.818077
1,1,1,72.79,37.1807,0.00920338,3.27588,0,169,1.03,1.07,186,0,0,0,0.854728,0.145272
1,1,1,72.79,37.1807,0.00920338,3.27588,0.001,73,1.09,1.13,56.51,0,0,0,0.903711,0.0962894
1,1,1,72.79,37.1807,0.00920338,3.27588,0.05,-1,-1,-1,-1,-1,-1,0.97699,0,0.0230099
1,1,1,72.79,37.1807,0.00920338,3.27588,0.1,-1,-1,-1,-1,-1,-1,0.911727,0,0.0882725
1,1,1,72.79,37.1807,0.00920338,3.27588,0.025,44,1.19,1.23,24.99,1,1,0,0.116096,0.883904
1,1,1,72.79,37.1807,0.00920338,3.27588,0.005,51,1.1,1.14,29.23,1,1,0,0.190903,0.809097
1,1,1,72.79,36.9067,0.0249806,2.12745,0,144,1.03,1.07,151,0,0,0,0.95527,0.0447298
1,1,1,72.79,36.9067,0.0249806,2.12745,0.01,27,1.1,1.15,16.47,1,1,0,0.243827,0.756173
1,1,1,72.79,36.9067,0.0249806,2.12745,0.025,24,1.11,1.15,14.93,1,1,0,0.0996398,0.90036
1,1,1,72.79,36.9067,0.0249806,2.12745,0.05,-1,-1,-1,-1,-1,-1,0.950887,0,0.049113
1,1,1,72.79,36.9067,0.0249806,2.12745,0.1,-1,-1,-1,-1,-1,-1,0.961998,0,0.0380019
1,1,1,72.79,36.9067,0.0249806,2.12745,0.075,-1,-1,-1,-1,-1,-1,0.950887,0,0.049113
1,1,1,72.79,36.9067,0.0249806,2.12745,0.001,43,1.1,1.14,31.62,0,0,0,0.865182,0.134818
1,1,1,72.79,36.9067,0.0249806,2.12745,0.005,29,1.1,1.14,14.95,1,1,0,0.247648,0.752352
1,1,1,100,50.8442,0.00587596,3.3728,0.001,74,1.1,1.14,56.92,0,0,0,0.92471,0.0752896
1,1,1,100,50.8442,0.00587596,3.3728,0.075,-1,-1,-1,-1,-1,-1,0.902532,0,0.0974681
1,1,1,100,50.8442,0.00587596,3.3728,0.01,60,1.11,1.15,38.91,0,0,0,0.725105,0.274895
1,1,1,100,50.8442,0.00587596,3.3728,0.05,-1,-1,-1,-1,-1,-1,0.882545,0,0.117455
1,1,1,100,50.8442,0.00587596,3.3728,0.1,-1,-1,-1,-1,-1,-1,0.890637,0,0.109363
1,1,1,100,50.8442,0.00587596,3.3728,0,197,1.03,1.07,237.3,0,0,0,0.89986,0.10014
1,1,1,100,50.8442,0.00587596,3.3728,0.005,60,1.1,1.15,35.73,0,0,0,0.848811,0.151189
1,1,1,100,50.8442,0.00587596,3.3728,0.025,43,1.21,1.26,26.53,1,1,0,0.122349,0.877651
1,1,1,2.21,1.68781,0.477435,1.69876,0.01,35,1.04,1.07,18.94,0,0,0,0.696893,0.303107
1,1,1,2.21,1.68781,0.477435,1.69876,0.001,35,1.04,1.07,19.17,0,0,0,0.590056,0.409944
1,1,1,2.21,1.68781,0.477435,1.69876,0.005,35,1.04,1.07,21.08,0,0,0,0.503011,0.496989
1,1,1,2.21,1.68781,0.477435,1.69876,0.075,-1,-1,-1,-1,-1,-1,0.892916,0,0.107084
1,1,1,2.21,1.68781,0.477435,1.69876,0,32,1.03,1.07,18.89,1,0,0,0.568582,0.431418
1,1,1,2.21,1.68781,0.477435,1.69876,0.025,26,1.09,1.13,12.25,1,1,0,0.139366,0.860634
