#LabelsStretch1,Stretch2,Sigma,Sigma_min_mean,Sigma_max_mean,ElEdge_min,ElEdge_max,ElEdge_mean,ElDetJ_min_mean,ElDetJ_max_mean,_DROP_TOL_,Iters,Op_Complex,Smoo_Complex,SolveTime,CostEst
1.17,62.10,1e2,0.0176406,1.76406,5,310.5,157.808,0.0292126,2.1225,0.05,18,1.36,1.41,15.22,0
5.74,9.24,1e-4,0.000228542,2.28542,5,46.2,29.0518,0.0579562,3.07386,0.05,22,1.41,1.47,7.938,0
23.95,38.57,1e-2,0.022567,2.2567,5,192.85,116.206,0.00405157,3.74264,0.05,25,1.42,1.47,13.17,0
2.59,20.43,1e2,0.0176406,1.76406,5,102.15,54.1887,0.0519928,2.75113,0.05,21,1.4,1.45,8.292,0
1.61,6.72,1e6,1.77778e-06,1.77778,5,33.6,19.5458,0.198519,2.14782,0.05,17,1.39,1.45,8.275,0
2.59,12.69,1e-4,0.000228542,2.28542,5,63.45,34.8979,0.0813883,2.675,0.05,20,1.4,1.46,10.24,0
3.56,9.24,1e2,0.0176406,1.76406,5,46.2,26.9937,0.0856634,2.81785,0.05,19,1.41,1.46,9.805,0
23.95,85.32,1e6,1.77778e-06,1.77778,5,426.6,227.68,0.00185728,3.7952,0.05,23,1.42,1.47,11.17,0
1.89,72.79,1e-4,0.000228542,2.28542,5,363.95,184.781,0.0187571,2.58047,0.05,22,1.39,1.44,8.064,1
1.89,4.89,1e2,0.0176406,1.76406,5,24.45,15.1589,0.234989,2.17179,0.05,17,1.41,1.46,8.354,0
2.21,3.04,1e2,0.0176406,1.76406,5,15.2,10.9962,0.308442,2.07224,0.05,16,1.42,1.47,5.802,0
3.04,4.89,1e-4,0.000228542,2.28542,5,24.45,16.1385,0.168098,2.49888,0.05,19,1.41,1.46,6.883,0
3.04,9.24,1e-2,0.022567,2.2567,5,46.2,26.6212,0.0966894,2.71597,0.05,19,1.41,1.46,8.5,0
20.43,38.57,1e0,1,1,5,192.85,112.29,0.00471706,3.71698,0.05,22,1.42,1.47,7.77,1
2.59,10.83,1e6,1.77778e-06,1.77778,5,54.15,30.2764,0.0941848,2.64186,0.05,19,1.4,1.46,9.117,0
1.17,1.37,1e0,1,1,5,6.85,6.03512,0.777771,1.24669,0.05,14,1.44,1.49,10.68,0
7.88,52.98,1e-6,2.28571e-06,2.28571,5,264.9,137.845,0.00834477,3.48379,0.05,21,1.41,1.47,8.747,1
1.17,3.04,1e-6,2.28571e-06,2.28571,5,15.2,10.1658,0.456267,1.62285,0.05,16,1.39,1.44,14.74,0
